combination,train_RMSE,test_RMSE,train_R2,test_R2,train_std_diff,test_std_diff,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,18.461396149215748,19.150053311224642,0.00617317932210526,-0.34614066000290644,0.9969086320610804,1.1602330197003128,0.1,0.001,3,1,10
2,18.1947929332631,19.033387506132215,0.03466986326988297,-0.3297887265388255,0.9825121560215513,1.1531646571668877,0.1,0.001,3,1,50
3,17.825806094804243,18.846439457360013,0.07342626385705553,-0.3037943508882084,0.9625870018564266,1.1418381456617255,0.1,0.001,3,1,100
4,18.46899142955378,19.153631387393443,0.005355262193028509,-0.3466437441158754,0.9973187744181755,1.1604498024972365,0.1,0.001,3,10,10
5,18.2272660033253,19.050365193276484,0.031221051657588705,-0.3321621144739484,0.9842656899142688,1.1541932743149859,0.1,0.001,3,10,50
6,17.89369851311349,18.88461706591855,0.0663548161319415,-0.30908194553941715,0.9662531675850065,1.144151189982957,0.1,0.001,3,10,100
7,18.499778556854253,19.15812046924073,0.002036426146950876,-0.3472750502402746,0.9989812680191003,1.1607217798595295,0.1,0.001,3,100,10
8,18.402107861387986,19.110905335603455,0.012546226780392633,-0.3406425221559186,0.9937070862279324,1.1578611843204343,0.1,0.001,3,100,50
9,18.260338936039105,19.034485622281803,0.027702210247502634,-0.32994217317043795,0.9860516161705214,1.1532311880843484,0.1,0.001,3,100,100
10,18.44779657272728,19.150213915159238,0.00763684389186603,-0.34616323919781267,0.9961742599104506,1.1602427501164627,0.1,0.001,5,1,10
11,18.130476325350855,19.037602712914612,0.04148247445771602,-0.33037779195315187,0.9790390827450577,1.1534200414216633,0.1,0.001,5,1,50
12,17.712338197877,18.851209935266386,0.08518469503693649,-0.3044544765674968,0.9564597769708163,1.142127171801589,0.1,0.001,5,1,100
13,18.46133141760607,19.155286351468163,0.006180148664677532,-0.3468764669093434,0.9969051365778605,1.1605500708325096,0.1,0.001,5,10,10
14,18.188060878948992,19.056234510355996,0.035384073394459925,-0.33298310517412233,0.9821486275536612,1.154548875177713,0.1,0.001,5,10,50
15,17.829641386200503,18.902055283653937,0.07302750909069244,-0.31150069681529735,0.9627941061874588,1.1452077090271866,0.1,0.001,5,10,100
16,18.499778556854253,19.15812046924073,0.002036426146950876,-0.3472750502402746,0.9989812680191003,1.1607217798595295,0.1,0.001,5,100,10
17,18.402107861387986,19.110905335603455,0.012546226780392633,-0.3406425221559186,0.9937070862279324,1.1578611843204343,0.1,0.001,5,100,50
18,18.260338936039105,19.034485622281803,0.027702210247502634,-0.32994217317043795,0.9860516161705214,1.1532311880843484,0.1,0.001,5,100,100
19,18.445020203776615,19.149023667453395,0.007935520096268855,-0.34599590760337895,0.9960243370037357,1.1601706372785767,0.1,0.001,8,1,10
20,18.11462863306029,19.037137455773898,0.04315740584690231,-0.3303127669378221,0.9781833131643055,1.153391853160851,0.1,0.001,8,1,50
21,17.682424795577436,18.850106466173443,0.0882720491865967,-0.30430176668053543,0.9548444642000096,1.1420603165684968,0.1,0.001,8,1,100
22,18.460867882173662,19.15423154775562,0.006230054591908618,-0.3467281369751678,0.996880105834243,1.1604861640602044,0.1,0.001,8,10,10
23,18.185506144009896,19.05502983717868,0.03565503850214746,-0.33281457678676096,0.9820106728024155,1.154475888352269,0.1,0.001,8,10,50
24,17.824766120225785,18.897451445356793,0.07353437509942795,-0.310861908944289,0.9625308436099967,1.1449287789833429,0.1,0.001,8,10,100
25,18.499778556854253,19.15812046924073,0.002036426146950876,-0.3472750502402746,0.9989812680191003,1.1607217798595295,0.1,0.001,8,100,10
26,18.402107861387986,19.110905335603455,0.012546226780392633,-0.3406425221559186,0.9937070862279324,1.1578611843204343,0.1,0.001,8,100,50
27,18.260338936039105,19.034485622281803,0.027702210247502634,-0.32994217317043795,0.9860516161705214,1.1532311880843484,0.1,0.001,8,100,100
28,18.44498159690951,19.14837314797354,0.007939673028716343,-0.3459044583785751,0.9960222522470488,1.1601312246373574,0.1,0.001,10,1,10
29,18.11438421076491,19.032690745691273,0.043183227197157725,-0.32969136843900904,0.978170114449855,1.1531224429517488,0.1,0.001,10,1,50
30,17.682902903982907,18.84176311291004,0.08822274478463155,-0.3031474132986567,0.9548702818788364,1.1415548227302343,0.1,0.001,10,1,100
31,18.460867882173662,19.15423154775562,0.006230054591908618,-0.3467281369751678,0.996880105834243,1.1604861640602044,0.1,0.001,10,10,10
32,18.185506144009896,19.05502983717868,0.03565503850214746,-0.33281457678676096,0.9820106728024155,1.154475888352269,0.1,0.001,10,10,50
33,17.824766120225785,18.897451445356793,0.07353437509942795,-0.310861908944289,0.9625308436099967,1.1449287789833429,0.1,0.001,10,10,100
34,18.499778556854253,19.15812046924073,0.002036426146950876,-0.3472750502402746,0.9989812680191003,1.1607217798595295,0.1,0.001,10,100,10
35,18.402107861387986,19.110905335603455,0.012546226780392633,-0.3406425221559186,0.9937070862279324,1.1578611843204343,0.1,0.001,10,100,50
36,18.260338936039105,19.034485622281803,0.027702210247502634,-0.32994217317043795,0.9860516161705214,1.1532311880843484,0.1,0.001,10,100,100
37,17.955787608857403,19.039656179159852,0.05986429005043181,-0.3306648063704656,0.9696059560200568,1.1535444535736217,0.1,0.01,3,1,10
38,15.595082846525267,18.06171546703734,0.2908191460704095,-0.19748052862878285,0.8421287632717401,1.0942945346792072,0.1,0.01,3,1,50
39,12.880583053125546,16.78955303971604,0.5162146929757536,-0.03473404176439443,0.695546768394654,1.0172187777289576,0.1,0.01,3,1,100
40,18.030249726317614,19.074801187041572,0.05205069251049643,-0.3355818476441532,0.9736268830971666,1.1556737635008216,0.1,0.01,3,10,10
41,15.876359164493904,18.250126812870914,0.26500656454136395,-0.22259394532471677,0.8573175814472931,1.1057097021030051,0.1,0.01,3,10,50
42,13.419909265392587,17.110259030948114,0.47485312098303356,-0.07464157017179751,0.7246701863723707,1.0366492030440178,0.1,0.01,3,10,100
43,18.33273236224675,19.116424472546694,0.019977545804659602,-0.3414169761094945,0.9899608346774839,1.1581955690251515,0.1,0.01,3,100,10
44,17.446527530307048,18.703860985102633,0.11243609963310319,-0.2841418492714769,0.9421060982537459,1.1331998275994737,0.1,0.01,3,100,50
45,16.49410630238229,18.16319739215029,0.20669679619463,-0.21097470910374394,0.8906757006932267,1.1004429604044654,0.1,0.01,3,100,100
46,17.82302369404277,19.04082465242741,0.07371549602413296,-0.33082813851791015,0.9624367532341369,1.153615247176419,0.1,0.01,5,1,10
47,15.004738208451553,18.134107181948032,0.3434943395647848,-0.2070988167863117,0.8102503689818445,1.0986804889440387,0.1,0.01,5,1,50
48,11.997503462384456,16.861176878591454,0.5802763917903974,-0.04358117466122646,0.6478607938512738,1.0215582091399522,0.1,0.01,5,1,100
49,17.956436723451628,19.091013503148407,0.05979631566203214,-0.33785312446031845,0.9696410079704592,1.1566560095639147,0.1,0.01,5,10,10
50,15.566171172980972,18.352518094285756,0.2934462048363722,-0.23635101428988303,0.8405675434869156,1.1119132224638228,0.1,0.01,5,10,50
51,12.989374004828171,17.32247905312375,0.5080079635775023,-0.101464633952012,0.7014214399506887,1.0495068527418066,0.1,0.01,5,10,100
52,18.33273236224675,19.116424472546694,0.019977545804659602,-0.3414169761094945,0.9899608346774839,1.1581955690251515,0.1,0.01,5,100,10
53,17.439895410047146,18.69386881010874,0.11311076818040744,-0.2827701600111887,0.9417479661881901,1.1325944375685362,0.1,0.01,5,100,50
54,16.48683369358811,18.151506696766955,0.20739621110411754,-0.2094163292619977,0.8902829824813471,1.0997346631174256,0.1,0.01,5,100,100
55,17.79670808100992,19.03079442022109,0.07644878636199737,-0.3294264135751148,0.9610157197663328,1.1530075513955296,0.1,0.01,8,1,10
56,14.867678011566221,18.145936216397338,0.3554332125790086,-0.2086741323439778,0.8028491685372735,1.0993971676987246,0.1,0.01,8,1,50
57,11.814995196343189,16.912448629356437,0.5929490913060594,-0.049937502645318155,0.6380054143139701,1.0246645805556658,0.1,0.01,8,1,100
58,17.951874078580598,19.080972225567063,0.06027405749615011,-0.3364461565467891,0.969394626818124,1.1560476445833836,0.1,0.01,8,10,10
59,15.547167476959181,18.353320819270408,0.2951703201956475,-0.2364591707345045,0.839541350860309,1.111961856690464,0.1,0.01,8,10,50
60,12.967634168664285,17.353472075413684,0.5096534432837354,-0.10540959553601392,0.7002474967582996,1.0513846087593322,0.1,0.01,8,10,100
61,18.33273236224675,19.116424472546694,0.019977545804659602,-0.3414169761094945,0.9899608346774839,1.1581955690251515,0.1,0.01,8,100,10
62,17.439895410047146,18.69386881010874,0.11311076818040744,-0.2827701600111887,0.9417479661881901,1.1325944375685362,0.1,0.01,8,100,50
